시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
시점,남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명)
2015.07,76771,78651,63138,63395,113936,121000,148272,149943,177739,184201,181551,180498,208160,209014,227318,236179,164161,169020,173965,179119,282333,296583,244041,255216,149846,157711,187947,201997,240766,244904,288041,300993,212208,212677,121648,116578,190689,190594,199116,206520,258994,253299,215281,232235,276821,300416,324489,339687,231319,232674
2015.08,76711,78554,63005,63334,113802,120780,148246,149956,177490,183997,181389,180291,207702,208556,226828,235955,163874,168847,173773,178911,281882,296251,244186,255575,149598,157512,187808,201984,240683,244949,288310,301157,211858,212507,121506,116458,190459,190329,198511,205921,258810,253094,215446,232528,276928,300452,324258,339440,230734,232062
2015.09,76822,78686,62977,63280,113654,120693,148236,150013,177347,183826,181184,180246,207315,208159,226520,235629,163694,168672,173660,178814,281457,295977,244019,255649,149470,157422,187783,202005,240458,244854,288440,301253,211490,212320,121313,116292,190286,190154,197952,205393,258593,252990,215443,232481,276656,300100,324066,339181,230345,231758
2015.1,76750,78683,62975,63262,113467,120431,148082,149896,177208,183677,180972,180171,206972,207801,226060,235328,163463,168398,173401,178692,281165,295656,243820,255601,149435,157246,187575,202066,240317,244778,288224,301285,211165,212128,121079,116043,189953,189720,197344,204834,258298,252691,215412,232538,277036,300546,323624,338771,229768,231220
2015.11,76722,78599,62840,63194,113419,120310,147862,149686,177069,183594,180786,179892,206831,207655,225545,234879,163227,168133,173206,178408,280739,295230,243439,255251,150888,158863,187083,201636,240369,244772,288073,301184,210852,212005,120867,115848,189649,189399,196889,204484,257762,252369,215065,232232,276895,300482,323133,338419,229272,230591
2015.12,76548,78438,62687,63046,113177,120165,147570,149433,176884,183485,180485,179668,206505,207404,224980,234295,162967,167906,173029,178213,279987,294596,242975,254945,152008,160133,186495,201148,239995,244537,287947,301127,210440,211652,120604,115680,189394,189110,196463,204178,257491,252172,214737,232027,276425,300070,322441,337861,228709,229949
2016.01,76459,78397,62623,62979,113012,120057,147437,149451,176639,183493,180400,179621,206499,207345,224666,234189,162783,167765,172924,178143,279548,294236,242768,254857,152584,160776,186226,201059,239869,244376,288135,301596,210312,211681,120469,115682,189411,189145,196444,204174,257578,252532,214536,231888,276122,299967,322181,337678,228272,229553
2016.02,76522,78428,62561,62994,112884,119985,147283,149414,176542,183602,180297,179581,206419,207261,224552,234179,162604,167684,172737,178029,279611,294223,242512,254597,153182,161623,186144,201094,239577,244154,288281,301892,210279,211583,120312,115593,189408,189170,196555,204346,257851,252711,214254,231665,275758,299728,321250,336771,227602,228977
2016.03,76593,78549,62653,63112,112719,119965,147198,149377,176451,183632,180230,179634,206344,207261,224361,234089,162445,167613,172571,177955,279821,294243,242160,254499,153651,162127,185997,200947,239159,243786,288609,302240,210236,211676,120200,115534,189275,189170,196713,204537,258237,252750,214122,231484,274839,298805,320641,336189,226878,228311
2016.04,76474,78445,62684,63102,112651,119892,147201,149393,176336,183563,180036,179452,206317,207331,224078,233950,162293,167570,172486,177830,279736,294319,241800,254270,153910,162365,185560,200648,238846,243493,288680,302525,210016,211521,120140,115507,189219,189095,196876,204625,258173,252621,214008,231343,274243,298132,320365,335858,226184,227817
2016.05,76302,78324,62534,63046,112587,119802,147462,149733,176138,183356,179720,179203,206281,207340,223695,233669,162051,167366,172517,177841,279687,294209,241610,254063,153781,162436,185262,200337,238591,243310,288780,302794,209951,211563,120063,115459,189068,188903,196959,204811,258114,252516,213882,231341,273734,297711,320005,335616,225304,226957
2016.06,76126,78239,62458,62999,112538,119797,147650,149908,175937,183373,179387,178831,206215,207185,223363,233432,161924,167306,172381,177811,279247,293909,241389,253923,153702,162499,184916,200074,238479,243391,288836,302756,209835,211656,119927,115395,188697,188503,197011,205032,257975,252358,214101,231581,273630,297700,319871,335616,224607,226319
