矫痢,楷飞喊,辆肺备,吝备,侩魂备,己悼备,堡柳备,悼措巩备,吝尔备,己合备,碍合备,档豪备,畴盔备,篮乞备,辑措巩备,付器备,剧玫备,碍辑备,备肺备,陛玫备,康殿器备,悼累备,包厩备,辑檬备,碍巢备,价颇备,碍悼备
2020,35 - 39技,4820,5050.5,9404.5,12877,13566,13439.5,15576.5,15952.5,10991.5,11419.5,17460,18357.5,11350,15852,15500,26139,17063,9408.5,16998,15641,21125.5,15662.5,19461,27814.5,18422.5
2020,40 - 44技,4635.5,4375.5,7951,11091.5,12209,12425.5,14146.5,15679,10901.5,11001.5,18317.5,17495.5,10723,13949,16814.5,22461,15740.5,8043.5,13781.5,14311.5,17538.5,16619.5,20609,25509.5,17283.5
2020,45 - 49技,5993,4635.5,8970.5,11583,13682.5,13548.5,15538.5,18856.5,13046,13252.5,23152.5,20073.5,12395,15475,20928,23057,16562.5,9095.5,14375.5,15153,18793.5,19302,24549.5,26682,18104.5
2020,50 - 54技,6072,5004.5,8800,11614,13315.5,13324,16484.5,17626,12658,13402,22293,18684,11927.5,13580,19769,20462,15337,9632.5,13824.5,13908.5,16878.5,16593,21670.5,25236,17072.5
2020,55 - 59技,6179.5,5127,8404,11589,12908.5,12985,17305.5,15742,12590,13570.5,19823.5,17605.5,11240,12159.5,17799.5,20503.5,15394.5,10240.5,13857,13595.5,16371,13471.5,17131,23772.5,16967
2020,60 - 64技,5409,4782,7544.5,10243,11466.5,12405,15933.5,14438,11905.5,13369,17803,16593.5,10103,10307.5,15381.5,20038.5,14569,9229.5,12568.5,12599.5,15091.5,12108,14725.5,22030.5,16352
2020,65 - 69技,3743.5,3379.5,5085,6672.5,7792.5,8978.5,11020.5,10273,8609,9489,12667.5,11686.5,6990,6983,11054,14222,10794.5,6268,8932,9144,11443.5,8914,11129.5,16184,11769.5
2020,70 - 74技,2842,2523,3809,4991.5,5712.5,6904,8018.5,7773,6945.5,6999,9086,9332.5,5461.5,5346,7821,10743,8668.5,4720,6949,7210,9340.5,7190,9124.5,11550.5,8555
2020,75 - 79技,2368.5,1942.5,3056,3865.5,4249,5420.5,5838,6362,5734,5414.5,6658,7315.5,4550.5,4578.5,5008.5,6850,5929,3371.5,4999,5706,7174.5,5112,6287.5,7266,5440.5
2020,80 - 84技,1517,1125,1949.5,2154.5,2388,3064,3179,3718,3143.5,3042.5,3863,4322,2914.5,2814,2577,3520,3178,1734.5,3042.5,3175,3758,2784.5,3271.5,3674.5,2647.5
2020,85 - 89技,642,438.5,846,798.5,833.5,1130,1046,1385.5,1068.5,1128.5,1558,1513,1099.5,1131.5,981,1413,1089,626,1143.5,1191.5,1220,1079,1251,1428.5,951.5
2020,90 - 94技,188.5,153,229,207,239,285,251.5,351.5,281.5,333,446.5,402.5,304.5,315.5,310.5,404,253.5,127.5,281,326.5,271.5,342,372,427,275
2020,95 - 99技,52,32,74,47.5,44.5,70.5,48.5,62,58,63.5,92,79.5,46.5,64,57,97,58,38,62,68.5,46,70.5,87.5,74.5,56.5
2020,100技 捞惑,6,5.5,6,6.5,7,7.5,3,7.5,4.5,11.5,7,7.5,7,6.5,7.5,12.5,4,4.5,3.5,12,5.5,6.5,9,11.5,8
2021,0 - 4技,1460,1590,3129.5,4943.5,4017,4637,5116,6036.5,3179,3885,6593.5,6229,4466,5638.5,5862,8470,6310.5,2852.5,6276,5319.5,4721,6511.5,6712,10946.5,7690.5
2021,5 - 9技,2202.5,1787.5,3597,5184.5,5517.5,5703,6321,8298.5,4550.5,5405.5,9822,8479,5460,6713.5,9834.5,10931,7504,3355,6633,6814.5,6112.5,10359.5,11725,14566.5,10193.5
2021,10 - 14技,2491.5,1515.5,3509,4595.5,6158,5622.5,6196,8821,5072,5930,12358,9103.5,5396,6906,12853,10898,7398.5,3330.5,5909,6736,6435.5,11690,15309,14755,10354.5
2021,15 - 19技,2799,1756,4100,5021.5,6689,6093.5,7052,9726,5885.5,6875.5,14431,10223.5,6110,7178,13261,11604,7835.5,3864.5,6518,7289,7744,11087.5,15396.5,15027,10079.5
2021,20 - 24技,4672,3392.5,6237.5,9134,11554,11763,11315.5,14456,8926.5,9928.5,18528,13961,9965,11018,14472.5,15620.5,11120.5,6710,10026,12617,16964.5,11832.5,15592.5,18910.5,13041.5
2021,25 - 29技,6490.5,5213.5,9276.5,12589,17504.5,15824,15767.5,17174.5,11505.5,11524,17955.5,17565.5,13505,16417,15156,23954,15546,11738,17306,18970.5,35603,13654.5,18543,24731,16759.5
2021,30 - 34技,5071,5028.5,9500,11169.5,14439,12581.5,14750,14158,9614,9768,15180.5,15908.5,10886,14826,13160,24939.5,15453,10687.5,18228,16080.5,27413,13376,17871,25253.5,16863
2021,35 - 39技,4601.5,4817,9026,12152,12766,12750.5,14665.5,15081.5,10081.5,10565.5,16427,17226.5,11023,15166.5,14585,24525,16014,9104,17013,14797,19827,14499.5,18121.5,26301,18411
2021,40 - 44技,4645.5,4429.5,8136.5,11047,12082.5,12420.5,14411.5,15614.5,10712.5,10891,17996.5,17605,10826,14026.5,16897,22548,15633.5,8113,14381,14232,17373,16551.5,20787.5,25911,18643
2021,45 - 49技,5527,4359,8354.5,10731.5,12868,12796,14564,17724,12139.5,12272.5,21596.5,19102.5,11689.5,14810.5,19902.5,22071,15847.5,8552.5,13936,14475,17746.5,18500.5,23799,25651.5,18092.5
2021,50 - 54技,6180.5,5020.5,9012,11562,13387,13388.5,16407.5,18119.5,12882.5,13502,22583,19248,12219.5,14068.5,20059,20813.5,15601.5,9551.5,14255,14306,17225,17220.5,22574.5,25475,17738.5
2021,55 - 59技,6014.5,4912.5,8255.5,11069,12519,12615.5,16716.5,15329,12171,13021.5,19143.5,17147,10972,11963,17315,19451,14952,9956.5,13773.5,13131,15983,13110,16961.5,23140,16786
2021,60 - 64技,5506,4835.5,7732,10554.5,11732,12581.5,16472,14684.5,12090.5,13431.5,18117.5,17094,10405,10634.5,15811,20289,14912.5,9639,12902.5,12764,15291.5,11994,14868.5,22263.5,17088
2021,65 - 69技,4056.5,3653,5505.5,7132,8429.5,9618,11909,10961.5,9227.5,10212,13664,12603,7528.5,7598.5,11932,15221,11452,6681,9608,9752,11949,9451,11988.5,17382.5,12991.5
2021,70 - 74技,2813,2588.5,3831.5,5050.5,5724.5,6913.5,8207.5,7821,6993.5,7157.5,9361.5,9415,5422,5312.5,8234.5,10960.5,8867,4870.5,7067.5,7313.5,9477.5,7100.5,9130,11915.5,8929.5
2021,75 - 79技,2283,1947,2941,3796.5,4269,5385.5,5906.5,6274.5,5620.5,5366.5,6700,7267,4482,4454.5,5171,7140,6102,3430,5072.5,5666,7155,5216,6631,7666,5823.5
2021,80 - 84技,1587.5,1200.5,2029,2293.5,2613.5,3268.5,3463.5,3973.5,3413.5,3344.5,4170,4695,3032.5,2972.5,2834,3851,3439.5,1916,3201.5,3467,4157.5,2976,3641,3997,2973
2021,85 - 89技,724,489,911.5,908,931,1276,1224,1587.5,1292.5,1254.5,1717,1768,1269.5,1247,1071.5,1553.5,1279.5,693.5,1360,1356,1402,1224,1411.5,1610.5,1105
2021,90 - 94技,196.5,165,267,227,257.5,300.5,271.5,393,302.5,362,509.5,434,330,354,332.5,440.5,290,164,319,352,317,353,397,474,293
2021,95 - 99技,56.5,32.5,66.5,44.5,49,64.5,47.5,59.5,61.5,62,89,80,53,59,58,93.5,57,36,60.5,67.5,42,74,88.5,79.5,55
2021,100技 捞惑,7.5,5.5,6.5,8,10,11,4.5,5.5,6.5,11.5,8.5,8,8,9.5,8.5,15.5,6,5.5,6,12.5,6,9,12,13,11
2022,0 - 4技,1325,1472,2919,4602.5,3618,4257,4727,5653,2767.5,3440.5,6063.5,5752,4114.5,5098,5321,7617,5853.5,2631.5,5846.5,4855,4207,5935.5,6169,10122.5,7392
2022,5 - 9技,2056.5,1685,3377,4980,5163,5505,5948.5,7934,4157.5,5039.5,9124,7972.5,5354,6500.5,9225.5,10215,7029,3115.5,6505.5,6464.5,5576.5,9651,11072,14203.5,9972.5
2022,10 - 14技,2373,1480.5,3413,4482,5970,5593,6073,8741,4878.5,5769.5,11885.5,8885,5356.5,6785,12627.5,10874,7254.5,3258.5,5915.5,6609.5,6190,11656,15527.5,14878.5,10511.5
2022,15 - 19技,2672,1667,3866.5,4800.5,6455.5,5939,6702,9544,5519,6512.5,13838,9936,5872,7068,12924.5,11198.5,7510,3669.5,6290,7113,7380.5,10879,15459,14678,9977.5
2022,20 - 24技,4404,3208,5888.5,8692.5,11074.5,11518,10488.5,14250.5,8426,9175,17685.5,13187.5,9706.5,10606.5,13497,14826.5,10538,6240.5,9575,12265,16568,11152,14777.5,17912,12360.5
2022,25 - 29技,6314.5,5073,9085,12261.5,17296,15676,15413.5,16896.5,11202,11124,17374.5,17094.5,13240.5,16270.5,14819.5,23464.5,15316.5,11777,17087,18731.5,36227.5,13188,17915,24108.5,16398
2022,30 - 34技,5205.5,5207.5,9902.5,11151,14942.5,12776.5,15321.5,14495.5,9709.5,9899,15515,16457.5,11188.5,15363.5,13467.5,25728,15970,11458.5,18842,16403.5,28662.5,13202,17995.5,25392,17062.5
2022,35 - 39技,4365,4631.5,8621.5,11377,12099,12163.5,13973.5,14355,9259.5,9838.5,15477.5,16000,10553,14315.5,13546,23180,15186,8846.5,16341,13977.5,18854,13238.5,16931,24898.5,17448
2022,40 - 44技,4659.5,4440.5,8266.5,11063,12049,12605,14606,15768.5,10572.5,10842.5,17791.5,17656,11016.5,14238.5,16802,22868.5,15632,8255,14783,14245.5,17417,16351,20745.5,26499.5,19238
2022,45 - 49技,5003,4063,7710.5,10131,12137.5,12164,13738.5,16658.5,11268.5,11452.5,20098.5,18067,10955.5,14029,18878.5,21206,15092,8026,13352.5,13768.5,16686,17674,23018.5,24950.5,17686
2022,50 - 54技,6236,4927.5,9071,11494,13464.5,13447.5,16323,18720.5,13030.5,13535,22775.5,19706,12482.5,14568,20299.5,21313,15785.5,9513.5,14526,14680.5,17675,17676,23486.5,25869,18141
2022,55 - 59技,5750.5,4716.5,7933,10569,12229.5,12359.5,16090.5,15163.5,11798.5,12652.5,18659,16790.5,10741.5,11776,16878,18576,14519,9622,13396.5,12752.5,15550,12903,16909.5,22686,16358
2022,60 - 64技,5597,4835,7804,10670.5,11955,12690.5,16765.5,14855,12152.5,13354.5,18348.5,17345.5,10666,10956.5,16189.5,20356.5,15019,9936.5,13101.5,12737.5,15486,11792,14891,22509,17349
2022,65 - 69技,4264,3906,5885.5,7581.5,8899.5,10128.5,12606.5,11578.5,9690,10789.5,14462,13302,7972.5,8009.5,12572.5,16019,11953.5,7078.5,10010,10218,12201,9780,12658,18292.5,13728.5
2022,70 - 74技,2785.5,2616,3842,5062,5798,6933.5,8361.5,7939,7032,7322.5,9652,9411,5385,5376,8568.5,11164,8918.5,4963.5,7138,7326,9564.5,7047.5,9261.5,12371.5,9315.5
2022,75 - 79技,2227.5,1919,2835,3779,4312.5,5372,5965.5,6161.5,5500.5,5348,6779,7188.5,4433.5,4341,5414.5,7577.5,6299,3497,5175.5,5657.5,7092,5324.5,6999.5,8179.5,6189.5
2022,80 - 84技,1713.5,1339,2149.5,2539,2891.5,3600,3850.5,4418,3793,3757.5,4556.5,5149.5,3293.5,3203.5,3203,4330,3844.5,2184,3492.5,3850.5,4723.5,3250,4123,4523,3414
2022,85 - 89技,778,524.5,985.5,1009.5,1054.5,1421,1390,1760,1486.5,1395,1862.5,1992,1407,1351,1179,1680.5,1402.5,758,1523,1492.5,1600,1358,1569.5,1798.5,1229.5
2022,90 - 94技,207,171,307.5,249.5,276,337.5,299.5,438.5,326,377,539,467,362.5,391,335.5,472,328.5,193.5,365,379,348.5,372,443,501.5,316
2022,95 - 99技,56.5,34,57.5,44,53,54.5,61,60.5,59.5,70.5,91,77.5,54,58.5,69.5,89.5,50.5,32.5,58.5,70.5,46,77,95.5,91.5,57
2022,100技 捞惑,8,6.5,6,8.5,11.5,11,6,6.5,10,10,10.5,9.5,10,11,8.5,15,5.5,7,8,12,7.5,6.5,13.5,11.5,13
2023,0 - 4技,1245,1405,2714.5,4298,3323,4054.5,4473,5268,2465.5,3062.5,5711.5,5405.5,3908,4657,4882.5,7026,5468,2413.5,5492,4512,3823.5,5549.5,6080,9387.5,6921.5
2023,5 - 9技,1862,1561.5,3152,4732,4797,5343.5,5589.5,7516.5,3776,4658.5,8383,7395,5228.5,6161.5,8589.5,9435.5,6557.5,2844.5,6189,6048.5,5114.5,9025.5,10718.5,13711.5,9535.5
2023,10 - 14技,2262.5,1470,3325.5,4282.5,5823,5578.5,5989.5,8529.5,4730,5560,11373,8674,5405,6557.5,12288.5,10708.5,7108.5,3161.5,5812,6441.5,5890,11591.5,15848,14924.5,10454.5
2023,15 - 19技,2595,1626,3709,4749.5,6328.5,5920,6466.5,9507,5218.5,6275,13524,9739,5726.5,6953,12796,10970,7352,3510.5,6164,7028.5,7130.5,10981.5,15848,14526,10064.5
2023,20 - 24技,4187.5,3095.5,5433.5,8249,10677,11409,9634.5,14183.5,7934.5,8418,17081,12546,9550.5,10269.5,12602,14006,9934.5,5697,9001.5,12033,16136,10720.5,14203.5,16937.5,11622
2023,25 - 29技,6130,4949.5,8766.5,11941.5,16938,15551,14968.5,16505,10787,10698,16939.5,16603.5,13076.5,15854.5,14383.5,22600.5,15053.5,11586.5,17023,18716.5,36459.5,13059.5,17617.5,23537,15981
2023,30 - 34技,5369,5506.5,10203.5,11411,15542,13323,15838,14747.5,9881.5,10178.5,15819.5,17121.5,11593.5,16038.5,13767.5,26280.5,16397,12027.5,19542,16777,30148,13471.5,18880.5,25947.5,17247
2023,35 - 39技,4192,4616.5,8348,10813,11649.5,11770.5,13553.5,13587.5,8618.5,9212.5,14791,15116,10260.5,13720,12718,22113.5,14784,8617,15899,13456,18407.5,12550.5,16638.5,23966.5,16655
2023,40 - 44技,4687,4494.5,8311.5,11120.5,12001,12910,14717,15871.5,10426,10822.5,17658,17750,11290,14315,16774,23085.5,15661.5,8318,15014.5,14268,17483.5,16267,21159,27077,19386.5
2023,45 - 49技,4615.5,3885,7185,9515.5,11579.5,11817,13094,15590.5,10467.5,10700,18801.5,17098,10502,13284.5,18018.5,20330.5,14364.5,7558,12788,13126.5,15746,16986.5,22827.5,24308.5,17424.5
2023,50 - 54技,6091,4765.5,8832.5,11287,13299,13520.5,16002,18893,12876.5,13287,22625,19872,12475,14787.5,20086.5,21540.5,15840.5,9341,14405,14701.5,17809.5,18056,24059,25862,18152
2023,55 - 59技,5580,4626,7749.5,10358.5,12199.5,12366.5,15796,15464,11704.5,12478.5,18701.5,16915,10806,11800,16667,18277.5,14454.5,9389,13230,12678.5,15359.5,13192,17257.5,22496,16122
2023,60 - 64技,5606.5,4796,7773,10555.5,11975.5,12644,16745.5,14709,12073.5,13221.5,18261.5,17320.5,10645.5,11067,16229.5,20022.5,14877.5,10018,13082,12596,15456,11638,14995,22398,17183
2023,65 - 69技,4441,4069,6150.5,7971.5,9320.5,10538.5,13309,12082.5,10080.5,11330,15120,13882.5,8431,8329.5,13092,16607.5,12462,7492,10447,10499.5,12551.5,10115.5,13099,18996.5,14352.5
2023,70 - 74技,2842,2660,3879,5147.5,6024.5,7125,8672,8177.5,7078.5,7512.5,10043,9565,5547.5,5492,8944.5,11543,9053,5069,7228.5,7374,9583,7189.5,9599.5,12940.5,9785.5
2023,75 - 79技,2232,1956.5,2839.5,3818.5,4469,5429,6177.5,6215.5,5554,5532.5,7017.5,7359,4435,4312,5810,8094.5,6638,3638,5370,5759.5,7207,5601.5,7472.5,8810.5,6665.5
2023,80 - 84技,1789,1445,2226,2741.5,3092,3882,4169,4757,4090,4071,4902,5463,3471,3401.5,3508,4760.5,4198.5,2399.5,3736.5,4138.5,5166,3577.5,4548,5029.5,3822.5
2023,85 - 89技,824,568,1070,1103,1197.5,1571,1586,1918,1646,1564,2028.5,2225.5,1546.5,1464.5,1298,1852.5,1552.5,853,1651.5,1638,1824,1501,1772,1982.5,1365
2023,90 - 94技,233,177.5,331,271,303.5,371,340,486.5,359.5,406.5,584,506,395,436,348,510.5,363,220,420.5,407,389,416,491,522,350.5
2023,95 - 99技,53.5,40,58.5,49.5,60.5,54,69.5,68,59,83,101.5,77,55.5,68.5,76.5,88,52,30,66,79,52,82.5,99.5,103,61
2023,100技 捞惑,8.5,5.5,7,11,12,10,7,10.5,11.5,10.5,14,11,11.5,8,10,14,6.5,8,10,11.5,9.5,8.5,13.5,14.5,13
